MEMBER_NO,L,R,F,M,C,D,runoff_flag
‘00000001,2923,198,3,0.383590836,0.658302611,低级别,1
‘00000002,2923,114,24,0.422977171,0.615947217,低级别,0
‘00000003,2916,84,9,0.391142304,0.522270571,低级别,0
‘00000004,2791,30,12,0.441940098,0.511083611,低级别,0
‘00000005,2245,95,3,0.987228167,0.954166379,低级别,0
‘00000006,1293,47,3,0.614583333,0.646666667,低级别,0
‘00000007,1069,535,2,0.456932153,0.475,低级别,1
‘00000008,754,124,8,1.088158006,1.350073748,低级别,0
‘00000009,579,177,6,0.69252557,0.750306845,低级别,1
‘00000010,3107,12,54,0.735708541,0.78806627,中等级别,0
‘00000011,1895,70,24,0.57745061,0.600083679,低级别,0
‘00000012,1888,2,13,0.521186658,0.717276733,低级别,0
‘00000013,1888,139,10,0.223632351,0.55491329,低级别,0
‘00000014,1874,448,13,1.243722707,1.328538937,低级别,1
‘00000015,1803,308,3,0.551124003,0.666666667,低级别,1
‘00000016,1755,10,19,0.521796071,0.626458907,低级别,0
‘00000017,1468,49,13,0.655116741,0.787628333,低级别,0
‘00000018,1447,667,3,0.978832585,0.874278384,低级别,1
‘00000019,1412,695,2,0.603208556,0.6,低级别,1
‘00000020,1363,78,30,1.003710774,0.929410352,低级别,0
‘00000022,2225,385,7,0.438411791,0.478391487,低级别,1
‘00000023,873,80,6,0.572576677,0.700336231,低级别,0
‘00000024,796,487,2,0.737563452,0.732385787,低级别,1
‘00000025,2986,138,2,0.346035015,0.693618263,低级别,1
‘00000026,1645,632,4,0.48219629,0.536856673,低级别,1
‘00000028,1610,39,24,0.414801597,0.548859485,低级别,0
‘00000029,1603,160,3,0.394871795,0.418540171,低级别,1
‘00000031,1603,25,5,0.653113815,0.693977094,低级别,0
‘00000032,1596,56,7,0.630395683,0.624552929,低级别,0
‘00000033,1590,204,4,0.535090909,0.545,低级别,0
‘00000034,1590,118,3,0.533700399,0.60401367,低级别,0
‘00000035,1583,9,46,0.572429662,0.645656462,低级别,0
‘00000036,1583,7,6,0.737320082,0.80355209,低级别,0
‘00000037,1576,102,9,0.578369384,0.708224958,低级别,0
‘00000038,1576,12,22,0.634683761,0.699027536,低级别,0
‘00000039,1561,150,8,0.318112204,0.562225133,低级别,0
‘00000040,1561,592,2,0.647908467,0.799184652,低级别,1
‘00000041,1555,22,20,0.774511569,0.762510579,低级别,0
‘00000042,1555,395,2,0.76904474,0.8,低级别,1
‘00000043,1555,52,2,0.752286585,0.695,低级别,0
‘00000044,2692,3,83,0.729671249,0.832975069,中等级别,0
‘00000045,1548,50,3,0.655789219,0.793333333,低级别,0
‘00000046,1541,9,21,0.528857035,0.623630077,低级别,0
‘00000047,1541,207,2,0.615668203,0.711809524,低级别,1
‘00000048,1541,57,2,0.584935897,0.73,低级别,0
‘00000049,1534,143,9,0.669983716,0.681691695,低级别,0
‘00000050,1534,23,14,0.489059982,0.563540197,低级别,0
‘00000051,1534,252,7,0.672883253,0.678080318,低级别,1
‘00000052,1513,240,3,0.843446602,0.763042071,低级别,0
‘00000053,1499,70,2,0.150194828,0.53,低级别,1
‘00000054,1499,8,83,0.714747328,0.801739699,高级别,0
‘00000055,1499,78,14,0.681124986,0.790720522,低级别,0
‘00000056,1485,13,6,0.984427894,0.972027759,低级别,0
‘00000057,1470,134,19,0.747420814,1.064033032,低级别,0
‘00000058,1470,38,7,0.762691698,0.757529085,低级别,0
‘00000059,1457,202,12,0.72527004,0.811886489,低级别,1
‘00000060,1408,415,3,0.792500794,0.768398475,低级别,1
‘00000061,1394,2,29,0.644625484,0.677107754,低级别,0
‘00000062,1394,25,45,0.595913834,0.678752559,低级别,0
‘00000063,1380,202,3,0.556576931,0.881076822,低级别,0
‘00000064,1373,261,3,1.19343696,0.973333333,低级别,0
‘00000065,1359,180,6,0.420730977,0.440390653,低级别,0
‘00000066,1352,89,5,0.658837857,0.66664579,低级别,1
‘00000068,1345,121,5,0.562548203,0.635363258,低级别,0
‘00000069,1345,331,2,0.286430362,0.55,低级别,1
‘00000070,1338,25,27,0.907946994,0.796802721,低级别,0
‘00000071,1332,3,84,0.816354929,0.848358239,中等级别,0
‘00000072,1325,10,3,0.586756591,0.623571429,低级别,0
‘00000073,1325,511,2,0.648195221,0.75,低级别,1
‘00000074,1317,271,5,0.463456578,0.50683577,低级别,1
‘00000075,1317,9,4,0.819251896,0.905176563,低级别,0
‘00000076,1286,15,13,0.401374603,0.513634529,低级别,0
‘00000077,1269,4,8,0.683485529,0.63547748,低级别,0
‘00000078,1421,128,14,0.114504549,0.381284601,低级别,0
‘00000079,1250,69,27,0.657796461,0.748576414,中等级别,0
‘00000080,1250,17,6,0.282374513,0.487731683,低级别,0
‘00000082,1251,65,19,0.597273854,0.667777669,低级别,0
‘00000083,1250,543,2,0.574890609,0.7,低级别,1
‘00000084,1247,191,15,0.604041507,0.688834881,低级别,1
‘00000085,1233,7,36,0.681195684,0.729296262,低级别,0
‘00000086,1247,139,3,0.701231739,0.648215411,低级别,1
‘00000088,1230,347,3,1.621052632,0.933333333,低级别,1
‘00000089,1231,77,4,0.620318554,0.618445975,低级别,0
‘00000090,1223,23,13,0.773127248,0.70866631,低级别,0
‘00000091,1223,284,4,1.203917791,0.913840719,低级别,0
‘00000092,1223,17,2,1.132216015,0.77,低级别,0
‘00000093,1229,243,3,0.489534597,0.703878355,低级别,1
‘00000094,1223,15,7,0.71631511,0.710390659,低级别,0
‘00000095,1231,83,6,0.611077736,0.727455245,低级别,0
‘00000096,1223,268,4,0.30399774,0.346687385,低级别,0
‘00000097,1229,27,7,0.570710802,0.664544111,低级别,0
