MEMBER_NO,y_train
бо00027072,0
бо00049644,0
бо00031435,0
бо00035064,0
бо00048398,0
бо00009109,1
бо00037625,0
бо00037323,0
бо00010838,0
бо00029953,1
бо00009306,1
бо00060875,0
бо00005275,0
бо00034174,0
бо00010547,0
бо00030784,0
бо00034958,0
бо00030105,0
бо00057916,0
бо00041595,1
бо00023776,0
бо00058862,0
бо00005206,0
бо00016693,1
бо00056907,0
бо00024778,1
бо00025676,0
бо00050331,0
бо00053978,0
бо00010851,0
бо00004061,0
бо00019823,1
бо00046875,0
бо00057360,1
бо00052835,0
бо00035145,0
бо00009622,0
бо00052199,1
бо00013623,0
бо00044840,0
бо00038264,1
бо00028649,0
бо00034968,1
бо00060412,1
бо00053891,1
бо00022336,0
бо00056639,0
бо00009981,0
бо00025855,0
бо00002720,0
бо00027313,0
бо00019465,0
бо00045328,1
бо00062215,1
бо00016694,0
бо00007258,0
бо00033140,0
бо00050441,0
бо00002932,0
бо00046490,1
бо00053725,0
бо00043915,0
бо00026554,0
бо00000560,0
бо00049112,0
бо00055544,1
бо00014265,0
бо00038479,0
бо00032474,0
бо00003820,1
бо00058646,0
бо00002304,0
бо00048854,0
бо00021226,0
бо00044116,1
бо00005167,0
бо00009276,1
бо00023967,1
бо00057989,1
бо00000869,0
бо00013683,0
бо00041388,0
бо00039329,1
бо00008571,1
бо00019528,0
бо00010642,0
бо00034545,0
бо00034799,0
бо00010659,0
бо00055427,1
бо00044626,0
бо00046035,0
бо00010391,0
бо00061866,0
бо00007153,1
бо00029497,0
бо00056457,0
бо00056672,1
бо00031628,1
бо00060058,1
бо00031253,0
бо00054699,0
бо00023004,1
бо00023928,0
бо00021767,0
бо00008805,0
бо00036703,0
бо00023020,1
бо00009463,0
бо00035401,1
бо00011535,1
бо00021419,0
бо00034394,0
бо00028388,0
бо00013631,0
бо00012487,0
бо00040275,0
бо00033088,1
бо00047685,0
бо00039737,0
бо00046174,0
бо00060235,0
бо00011305,1
бо00048918,0
бо00015042,1
бо00040572,1
бо00055960,0
бо00004654,0
бо00004815,1
бо00028423,0
бо00030053,0
бо00060843,0
бо00005428,1
бо00032456,0
бо00004502,0
бо00021780,0
бо00049779,0
бо00021410,1
бо00027577,0
бо00048986,0
бо00048563,1
бо00059854,1
бо00061753,0
бо00011657,0
бо00055579,1
бо00049151,1
бо00000103,1
бо00027385,1
бо00048428,0
бо00032469,0
бо00058510,0
бо00059046,1
бо00033323,1
бо00024845,1
бо00015664,0
бо00037102,0
бо00057104,1
бо00032409,0
бо00035386,0
бо00031058,1
бо00031183,0
бо00037702,0
бо00008142,1
бо00051640,0
бо00034817,1
бо00049090,0
бо00002702,0
бо00042083,0
бо00029238,0
бо00050241,0
бо00030417,0
бо00039891,1
бо00056416,0
бо00005125,1
бо00061674,1
бо00033504,1
бо00016759,0
бо00008393,0
бо00011681,0
бо00006655,0
бо00017131,0
бо00025500,0
бо00038307,0
бо00023792,0
бо00011557,0
бо00061915,1
бо00053005,1
бо00062972,0
бо00021239,0
бо00042018,0
бо00033923,0
бо00057129,0
бо00048265,1
бо00052891,0
бо00042974,1
бо00060712,1
бо00029848,1
бо00058799,0
бо00015434,1
бо00008667,1
бо00038564,0
бо00039296,0
бо00008577,1
бо00053290,0
бо00053521,0
бо00056514,0
бо00059626,1
бо00047155,1
бо00017169,0
бо00020001,0
бо00004071,0
бо00007411,1
бо00045728,0
бо00046662,1
бо00049626,1
бо00052095,0
бо00040608,0
бо00053936,0
бо00051066,0
бо00055965,0
бо00037615,1
бо00046719,0
бо00060561,1
бо00037756,1
бо00046888,0
бо00059650,1
бо00031309,0
бо00014980,1
бо00001063,0
бо00034781,0
бо00059058,0
бо00055803,0
бо00002568,1
бо00038949,0
бо00029940,1
бо00029664,0
бо00014186,0
бо00048421,0
бо00043851,0
бо00019439,0
бо00020169,1
бо00012424,1
бо00036638,0
бо00056349,0
бо00061506,1
бо00005985,0
бо00015076,1
бо00036530,0
бо00061088,1
бо00043219,1
бо00011263,1
бо00054382,0
бо00056726,0
бо00012617,0
бо00004094,1
бо00016432,0
бо00012996,1
бо00015474,0
бо00009190,1
бо00005645,1
бо00059849,0
бо00026562,0
бо00021025,0
бо00017709,0
бо00055849,0
бо00031771,1
бо00051822,1
бо00010517,0
бо00038048,0
бо00057180,0
бо00008767,1
бо00056118,0
бо00039673,0
бо00017802,0
бо00024441,0
бо00006591,1
бо00004789,0
бо00049506,1
бо00059050,0
бо00029105,0
бо00034326,1
бо00001527,0
бо00019415,0
бо00033066,1
бо00045567,0
